20260131201625,10.0.0.4,54965,10.0.0.1,9999,1,0.0-1.0,695310,5562480,0.000,0,473,0.000,0
20260131201626,10.0.0.4,54965,10.0.0.1,9999,1,1.0-2.0,986370,7890960,0.000,0,671,0.000,0
20260131201627,10.0.0.4,54965,10.0.0.1,9999,1,2.0-3.0,1045170,8361360,0.000,0,711,0.000,0
20260131201628,10.0.0.4,54965,10.0.0.1,9999,1,3.0-4.0,1145130,9161040,0.000,0,779,0.000,0
20260131201629,10.0.0.4,54965,10.0.0.1,9999,1,4.0-5.0,1111320,8890560,0.000,0,756,0.000,0
20260131201630,10.0.0.4,54965,10.0.0.1,9999,1,5.0-6.0,1043700,8349600,0.000,0,710,0.000,0
20260131201631,10.0.0.4,54965,10.0.0.1,9999,1,6.0-7.0,1098090,8784720,0.000,0,747,0.000,0
20260131201632,10.0.0.4,54965,10.0.0.1,9999,1,7.0-8.0,981960,7855680,0.000,0,668,0.000,0
20260131201633,10.0.0.4,54965,10.0.0.1,9999,1,8.0-9.0,1114260,8914080,0.000,0,758,0.000,0
20260131201634,10.0.0.4,54965,10.0.0.1,9999,1,9.0-10.0,893760,7150080,0.000,0,608,0.000,0
20260131201635,10.0.0.4,54965,10.0.0.1,9999,1,10.0-11.0,942270,7538160,0.000,0,641,0.000,0
20260131201636,10.0.0.4,54965,10.0.0.1,9999,1,11.0-12.0,662970,5303760,0.000,0,451,0.000,0
20260131201637,10.0.0.4,54965,10.0.0.1,9999,1,12.0-13.0,661500,5292000,0.000,0,450,0.000,0
20260131201638,10.0.0.4,54965,10.0.0.1,9999,1,13.0-14.0,1093680,8749440,0.000,0,744,0.000,0
20260131201639,10.0.0.4,54965,10.0.0.1,9999,1,14.0-15.0,764400,6115200,0.000,0,520,0.000,0
20260131201640,10.0.0.4,54965,10.0.0.1,9999,1,15.0-16.0,879060,7032480,0.000,0,598,0.000,0
20260131201641,10.0.0.4,54965,10.0.0.1,9999,1,16.0-17.0,710010,5680080,0.000,0,483,0.000,0
20260131201642,10.0.0.4,54965,10.0.0.1,9999,1,17.0-18.0,589470,4715760,0.000,0,401,0.000,0
20260131201643,10.0.0.4,54965,10.0.0.1,9999,1,18.0-19.0,730590,5844720,0.000,0,497,0.000,0
20260131201644,10.0.0.4,54965,10.0.0.1,9999,1,19.0-20.0,980490,7843920,0.000,0,667,0.000,0
20260131201645,10.0.0.4,54965,10.0.0.1,9999,1,20.0-21.0,473340,3786720,0.000,0,322,0.000,0
20260131201646,10.0.0.4,54965,10.0.0.1,9999,1,21.0-22.0,662970,5303760,0.000,0,451,0.000,0
20260131201647,10.0.0.4,54965,10.0.0.1,9999,1,22.0-23.0,507150,4057200,0.000,0,345,0.000,0
20260131201648,10.0.0.4,54965,10.0.0.1,9999,1,23.0-24.0,912870,7302960,0.000,0,621,0.000,0
20260131201649,10.0.0.4,54965,10.0.0.1,9999,1,24.0-25.0,1253910,10031280,0.000,0,853,0.000,0
20260131201650,10.0.0.4,54965,10.0.0.1,9999,1,25.0-26.0,1183350,9466800,0.000,0,805,0.000,0
20260131201651,10.0.0.4,54965,10.0.0.1,9999,1,26.0-27.0,1186290,9490320,0.000,0,807,0.000,0
20260131201652,10.0.0.4,54965,10.0.0.1,9999,1,27.0-28.0,1181880,9455040,0.000,0,804,0.000,0
20260131201653,10.0.0.4,54965,10.0.0.1,9999,1,28.0-29.0,1059870,8478960,0.000,0,721,0.000,0
20260131201654,10.0.0.4,54965,10.0.0.1,9999,1,29.0-30.0,904050,7232400,0.000,0,615,0.000,0
20260131201655,10.0.0.4,54965,10.0.0.1,9999,1,30.0-31.0,692370,5538960,0.000,0,471,0.000,0
20260131201656,10.0.0.4,54965,10.0.0.1,9999,1,31.0-32.0,599760,4798080,0.000,0,408,0.000,0
20260131201657,10.0.0.4,54965,10.0.0.1,9999,1,32.0-33.0,546840,4374720,0.000,0,372,0.000,0
20260131201658,10.0.0.4,54965,10.0.0.1,9999,1,33.0-34.0,811440,6491520,0.000,0,552,0.000,0
20260131201659,10.0.0.4,54965,10.0.0.1,9999,1,34.0-35.0,517440,4139520,0.000,0,352,0.000,0
20260131201700,10.0.0.4,54965,10.0.0.1,9999,1,35.0-36.0,661500,5292000,0.000,0,450,0.000,0
20260131201701,10.0.0.4,54965,10.0.0.1,9999,1,36.0-37.0,757050,6056400,0.000,0,515,0.000,0
20260131201702,10.0.0.4,54965,10.0.0.1,9999,1,37.0-38.0,1045170,8361360,0.000,0,711,0.000,0
20260131201703,10.0.0.4,54965,10.0.0.1,9999,1,38.0-39.0,887880,7103040,0.000,0,604,0.000,0
20260131201704,10.0.0.4,54965,10.0.0.1,9999,1,39.0-40.0,627690,5021520,0.000,0,427,0.000,0
20260131201705,10.0.0.4,54965,10.0.0.1,9999,1,40.0-41.0,695310,5562480,0.000,0,473,0.000,0
20260131201706,10.0.0.4,54965,10.0.0.1,9999,1,41.0-42.0,629160,5033280,0.000,0,428,0.000,0
20260131201707,10.0.0.4,54965,10.0.0.1,9999,1,42.0-43.0,536550,4292400,0.000,0,365,0.000,0
20260131201708,10.0.0.4,54965,10.0.0.1,9999,1,43.0-44.0,755580,6044640,0.000,0,514,0.000,0
20260131201709,10.0.0.4,54965,10.0.0.1,9999,1,44.0-45.0,1202460,9619680,0.000,0,818,0.000,0
20260131201710,10.0.0.4,54965,10.0.0.1,9999,1,45.0-46.0,1206870,9654960,0.000,0,821,0.000,0
20260131201711,10.0.0.4,54965,10.0.0.1,9999,1,46.0-47.0,695310,5562480,0.000,0,473,0.000,0
20260131201712,10.0.0.4,54965,10.0.0.1,9999,1,47.0-48.0,1203930,9631440,0.000,0,819,0.000,0
20260131201713,10.0.0.4,54965,10.0.0.1,9999,1,48.0-49.0,1180410,9443280,0.000,0,803,0.000,0
20260131201714,10.0.0.4,54965,10.0.0.1,9999,1,49.0-50.0,1178940,9431520,0.000,0,802,0.000,0
20260131201715,10.0.0.4,54965,10.0.0.1,9999,1,50.0-51.0,1259790,10078320,0.000,0,857,0.000,0
20260131201716,10.0.0.4,54965,10.0.0.1,9999,1,51.0-52.0,1111320,8890560,0.000,0,756,0.000,0
20260131201717,10.0.0.4,54965,10.0.0.1,9999,1,52.0-53.0,455700,3645600,0.000,0,310,0.000,0
20260131201718,10.0.0.4,54965,10.0.0.1,9999,1,53.0-54.0,757050,6056400,0.000,0,515,0.000,0
20260131201719,10.0.0.4,54965,10.0.0.1,9999,1,54.0-55.0,793800,6350400,0.000,0,540,0.000,0
20260131201720,10.0.0.4,54965,10.0.0.1,9999,1,55.0-56.0,580650,4645200,0.000,0,395,0.000,0
20260131201721,10.0.0.4,54965,10.0.0.1,9999,1,56.0-57.0,1111320,8890560,0.000,0,756,0.000,0
20260131201722,10.0.0.4,54965,10.0.0.1,9999,1,57.0-58.0,1133370,9066960,0.000,0,771,0.000,0
20260131201723,10.0.0.4,54965,10.0.0.1,9999,1,58.0-59.0,1039290,8314320,0.000,0,707,0.000,0
20260131201724,10.0.0.4,54965,10.0.0.1,9999,1,59.0-60.0,1180410,9443280,0.000,0,803,0.000,0
20260131201725,10.0.0.4,54965,10.0.0.1,9999,1,60.0-61.0,1255380,10043040,0.000,0,854,0.000,0
20260131201726,10.0.0.4,54965,10.0.0.1,9999,1,61.0-62.0,1101030,8808240,0.000,0,749,0.000,0
20260131201727,10.0.0.4,54965,10.0.0.1,9999,1,62.0-63.0,1195110,9560880,0.000,0,813,0.000,0
20260131201728,10.0.0.4,54965,10.0.0.1,9999,1,63.0-64.0,1045170,8361360,0.000,0,711,0.000,0
20260131201729,10.0.0.4,54965,10.0.0.1,9999,1,64.0-65.0,1023120,8184960,0.000,0,696,0.000,0
20260131201730,10.0.0.4,54965,10.0.0.1,9999,1,65.0-66.0,833490,6667920,0.000,0,567,0.000,0
20260131201731,10.0.0.4,54965,10.0.0.1,9999,1,66.0-67.0,1087800,8702400,0.000,0,740,0.000,0
20260131201732,10.0.0.4,54965,10.0.0.1,9999,1,67.0-68.0,1178940,9431520,0.000,0,802,0.000,0
20260131201733,10.0.0.4,54965,10.0.0.1,9999,1,68.0-69.0,1109850,8878800,0.000,0,755,0.000,0
20260131201734,10.0.0.4,54965,10.0.0.1,9999,1,69.0-70.0,1177470,9419760,0.000,0,801,0.000,0
20260131201735,10.0.0.4,54965,10.0.0.1,9999,1,70.0-71.0,993720,7949760,0.000,0,676,0.000,0
20260131201736,10.0.0.4,54965,10.0.0.1,9999,1,71.0-72.0,754110,6032880,0.000,0,513,0.000,0
20260131201737,10.0.0.4,54965,10.0.0.1,9999,1,72.0-73.0,1248030,9984240,0.000,0,849,0.000,0
20260131201738,10.0.0.4,54965,10.0.0.1,9999,1,73.0-74.0,837900,6703200,0.000,0,570,0.000,0
20260131201739,10.0.0.4,54965,10.0.0.1,9999,1,74.0-75.0,1017240,8137920,0.000,0,692,0.000,0
20260131201740,10.0.0.4,54965,10.0.0.1,9999,1,75.0-76.0,1186290,9490320,0.000,0,807,0.000,0
20260131201741,10.0.0.4,54965,10.0.0.1,9999,1,76.0-77.0,751170,6009360,0.000,0,511,0.000,0
20260131201742,10.0.0.4,54965,10.0.0.1,9999,1,77.0-78.0,786450,6291600,0.000,0,535,0.000,0
20260131201743,10.0.0.4,54965,10.0.0.1,9999,1,78.0-79.0,1089270,8714160,0.000,0,741,0.000,0
20260131201744,10.0.0.4,54965,10.0.0.1,9999,1,79.0-80.0,770280,6162240,0.000,0,524,0.000,0
20260131201745,10.0.0.4,54965,10.0.0.1,9999,1,80.0-81.0,488040,3904320,0.000,0,332,0.000,0
20260131201746,10.0.0.4,54965,10.0.0.1,9999,1,81.0-82.0,596820,4774560,0.000,0,406,0.000,0
20260131201747,10.0.0.4,54965,10.0.0.1,9999,1,82.0-83.0,554190,4433520,0.000,0,377,0.000,0
20260131201748,10.0.0.4,54965,10.0.0.1,9999,1,83.0-84.0,837900,6703200,0.000,0,570,0.000,0
20260131201749,10.0.0.4,54965,10.0.0.1,9999,1,84.0-85.0,1062810,8502480,0.000,0,723,0.000,0
20260131201750,10.0.0.4,54965,10.0.0.1,9999,1,85.0-86.0,708540,5668320,0.000,0,482,0.000,0
20260131201751,10.0.0.4,54965,10.0.0.1,9999,1,86.0-87.0,876120,7008960,0.000,0,596,0.000,0
20260131201752,10.0.0.4,54965,10.0.0.1,9999,1,87.0-88.0,1002540,8020320,0.000,0,682,0.000,0
20260131201753,10.0.0.4,54965,10.0.0.1,9999,1,88.0-89.0,664440,5315520,0.000,0,452,0.000,0
20260131201754,10.0.0.4,54965,10.0.0.1,9999,1,89.0-90.0,862890,6903120,0.000,0,587,0.000,0
20260131201755,10.0.0.4,54965,10.0.0.1,9999,1,90.0-91.0,986370,7890960,0.000,0,671,0.000,0
20260131201756,10.0.0.4,54965,10.0.0.1,9999,1,91.0-92.0,1190700,9525600,0.000,0,810,0.000,0
20260131201757,10.0.0.4,54965,10.0.0.1,9999,1,92.0-93.0,1183350,9466800,0.000,0,805,0.000,0
20260131201758,10.0.0.4,54965,10.0.0.1,9999,1,93.0-94.0,996660,7973280,0.000,0,678,0.000,0
20260131201759,10.0.0.4,54965,10.0.0.1,9999,1,94.0-95.0,1117200,8937600,0.000,0,760,0.000,0
20260131201800,10.0.0.4,54965,10.0.0.1,9999,1,95.0-96.0,1109850,8878800,0.000,0,755,0.000,0
20260131201801,10.0.0.4,54965,10.0.0.1,9999,1,96.0-97.0,701190,5609520,0.000,0,477,0.000,0
20260131201802,10.0.0.4,54965,10.0.0.1,9999,1,97.0-98.0,892290,7138320,0.000,0,607,0.000,0
20260131201803,10.0.0.4,54965,10.0.0.1,9999,1,98.0-99.0,834960,6679680,0.000,0,568,0.000,0
20260131201804,10.0.0.4,54965,10.0.0.1,9999,1,99.0-100.0,1198050,9584400,0.000,0,815,0.000,0
20260131201805,10.0.0.4,54965,10.0.0.1,9999,1,100.0-101.0,999600,7996800,0.000,0,680,0.000,0
20260131201806,10.0.0.4,54965,10.0.0.1,9999,1,101.0-102.0,660030,5280240,0.000,0,449,0.000,0
20260131201807,10.0.0.4,54965,10.0.0.1,9999,1,102.0-103.0,735000,5880000,0.000,0,500,0.000,0
20260131201808,10.0.0.4,54965,10.0.0.1,9999,1,103.0-104.0,1112790,8902320,0.000,0,757,0.000,0
20260131201809,10.0.0.4,54965,10.0.0.1,9999,1,104.0-105.0,984900,7879200,0.000,0,670,0.000,0
20260131201810,10.0.0.4,54965,10.0.0.1,9999,1,105.0-106.0,974610,7796880,0.000,0,663,0.000,0
20260131201811,10.0.0.4,54965,10.0.0.1,9999,1,106.0-107.0,958440,7667520,0.000,0,652,0.000,0
20260131201812,10.0.0.4,54965,10.0.0.1,9999,1,107.0-108.0,976080,7808640,0.000,0,664,0.000,0
20260131201813,10.0.0.4,54965,10.0.0.1,9999,1,108.0-109.0,1109850,8878800,0.000,0,755,0.000,0
20260131201814,10.0.0.4,54965,10.0.0.1,9999,1,109.0-110.0,1148070,9184560,0.000,0,781,0.000,0
20260131201815,10.0.0.4,54965,10.0.0.1,9999,1,110.0-111.0,1112790,8902320,0.000,0,757,0.000,0
20260131201816,10.0.0.4,54965,10.0.0.1,9999,1,111.0-112.0,1248030,9984240,0.000,0,849,0.000,0
20260131201817,10.0.0.4,54965,10.0.0.1,9999,1,112.0-113.0,1002540,8020320,0.000,0,682,0.000,0
20260131201818,10.0.0.4,54965,10.0.0.1,9999,1,113.0-114.0,933450,7467600,0.000,0,635,0.000,0
20260131201819,10.0.0.4,54965,10.0.0.1,9999,1,114.0-115.0,1181880,9455040,0.000,0,804,0.000,0
20260131201820,10.0.0.4,54965,10.0.0.1,9999,1,115.0-116.0,1161300,9290400,0.000,0,790,0.000,0
20260131201821,10.0.0.4,54965,10.0.0.1,9999,1,116.0-117.0,1149540,9196320,0.000,0,782,0.000,0
20260131201822,10.0.0.4,54965,10.0.0.1,9999,1,117.0-118.0,1046640,8373120,0.000,0,712,0.000,0
20260131201823,10.0.0.4,54965,10.0.0.1,9999,1,118.0-119.0,933450,7467600,0.000,0,635,0.000,0
20260131201824,10.0.0.4,54965,10.0.0.1,9999,1,119.0-120.0,971670,7773360,0.000,0,661,0.000,0
20260131201825,10.0.0.4,54965,10.0.0.1,9999,1,120.0-121.0,945210,7561680,0.000,0,643,0.000,0
20260131201826,10.0.0.4,54965,10.0.0.1,9999,1,121.0-122.0,909930,7279440,0.000,0,619,0.000,0
20260131201827,10.0.0.4,54965,10.0.0.1,9999,1,122.0-123.0,911400,7291200,0.000,0,620,0.000,0
20260131201828,10.0.0.4,54965,10.0.0.1,9999,1,123.0-124.0,976080,7808640,0.000,0,664,0.000,0
20260131201829,10.0.0.4,54965,10.0.0.1,9999,1,124.0-125.0,1139250,9114000,0.000,0,775,0.000,0
20260131201830,10.0.0.4,54965,10.0.0.1,9999,1,125.0-126.0,1043700,8349600,0.000,0,710,0.000,0
20260131201831,10.0.0.4,54965,10.0.0.1,9999,1,126.0-127.0,890820,7126560,0.000,0,606,0.000,0
20260131201832,10.0.0.4,54965,10.0.0.1,9999,1,127.0-128.0,1183350,9466800,0.000,0,805,0.000,0
20260131201833,10.0.0.4,54965,10.0.0.1,9999,1,128.0-129.0,1114260,8914080,0.000,0,758,0.000,0
20260131201834,10.0.0.4,54965,10.0.0.1,9999,1,129.0-130.0,1252440,10019520,0.000,0,852,0.000,0
20260131201835,10.0.0.4,54965,10.0.0.1,9999,1,130.0-131.0,1108380,8867040,0.000,0,754,0.000,0
20260131201836,10.0.0.4,54965,10.0.0.1,9999,1,131.0-132.0,1121610,8972880,0.000,0,763,0.000,0
20260131201837,10.0.0.4,54965,10.0.0.1,9999,1,132.0-133.0,1109850,8878800,0.000,0,755,0.000,0
20260131201838,10.0.0.4,54965,10.0.0.1,9999,1,133.0-134.0,995190,7961520,0.000,0,677,0.000,0
20260131201839,10.0.0.4,54965,10.0.0.1,9999,1,134.0-135.0,977550,7820400,0.000,0,665,0.000,0
20260131201840,10.0.0.4,54965,10.0.0.1,9999,1,135.0-136.0,1037820,8302560,0.000,0,706,0.000,0
20260131201841,10.0.0.4,54965,10.0.0.1,9999,1,136.0-137.0,1145130,9161040,0.000,0,779,0.000,0
20260131201842,10.0.0.4,54965,10.0.0.1,9999,1,137.0-138.0,908460,7267680,0.000,0,618,0.000,0
20260131201843,10.0.0.4,54965,10.0.0.1,9999,1,138.0-139.0,1218630,9749040,0.000,0,829,0.000,0
20260131201844,10.0.0.4,54965,10.0.0.1,9999,1,139.0-140.0,1131900,9055200,0.000,0,770,0.000,0
20260131201845,10.0.0.4,54965,10.0.0.1,9999,1,140.0-141.0,1043700,8349600,0.000,0,710,0.000,0
20260131201846,10.0.0.4,54965,10.0.0.1,9999,1,141.0-142.0,1183350,9466800,0.000,0,805,0.000,0
20260131201847,10.0.0.4,54965,10.0.0.1,9999,1,142.0-143.0,1098090,8784720,0.000,0,747,0.000,0
20260131201848,10.0.0.4,54965,10.0.0.1,9999,1,143.0-144.0,904050,7232400,0.000,0,615,0.000,0
20260131201849,10.0.0.4,54965,10.0.0.1,9999,1,144.0-145.0,674730,5397840,0.000,0,459,0.000,0
